"date","out.ch","out_incl_losses.ch","in.ch"
2009-10-30,168050768.177,183139434.992,140341188.118
2009-10-31,145238041.424,163853632.838,128685000.757
2009-11-01,133201676.165,151291318.202,130987871.032
2009-11-02,169652125.052,185096318.717,155962946.095
2009-11-03,173732228.093,188803877.69725,152382268.858
2009-11-04,172683294.972,189344001.01025,143121265.193
2009-11-05,173465943.141,188812963.19725,138609885.577
2009-11-06,173688006.652,186551208.07125,142505251.668
2009-11-07,153849088.115,168581064.2975,130572402.767
2009-11-08,142047182.005,157863131.952,129476039.957
2009-11-09,175925147.534,190053175.00675,149161439.022
2009-11-10,180819343.922,195273778.1995,159797370.79
2009-11-11,179155638.972,193912722.83475,140124809.706
2009-11-12,180956307.296,195310567.0295,144619403.431
2009-11-13,172696980.388,188195324.28875,135850260.094
2009-11-14,149845490.128,163789731.75225,132212546.297
2009-11-15,137765322.638,154135537.472,129308106.824
2009-11-16,169156924.186,184418753.55,139821809.42
2009-11-17,170924917.881,185809496.40075,141348103.569
2009-11-18,169452781.67,184304036.49125,149707890.949
2009-11-19,171162604.278,185458555.899,157312012.676
2009-11-20,170479833.915,183894177.92425,152136068.692
2009-11-21,148101212.983,160617608.7085,136843564.55
2009-11-22,137927998.946,153606892.26975,131815118.252
2009-11-23,169786094.949,184822451.16925,154782982.338
2009-11-24,174956970.836,190861396.67475,156656722.527
2009-11-25,174107732.268,190122084.00725,151782068
2009-11-26,176056653.89,191904170.3705,154432055.824
2009-11-27,176166705.077,190529471.11575,152927714.175
2009-11-28,151856901.478,165224176.051,142477190.307
2009-11-29,143401104.646,158306520.191,134182121.359
2009-11-30,182031755.42,200547976.13375,155797476.51
2009-12-01,186271060.356,200793525.58125,170677931.804
2009-12-02,188472119.885,204478230.7055,156834029.935
2009-12-03,188212179.931,204655730.74225,153429666.671
2009-12-04,185724633.096,202013567.39575,157694825.014
2009-12-05,165112721.602,185748908.37175,136007377.741
2009-12-06,149636995.808,170391450.8325,131448519.602
2009-12-07,179718994.22,198163480.9385,148400490.91
2009-12-08,179053007.166,198142072.01775,146500796.269
2009-12-09,186289551.767,203392820.105,158373967.423
2009-12-10,188641118.094,204776842.634,166476105.694
2009-12-11,187239706.457,203481635.723,169402958.118
2009-12-12,166869157.801,182392414.63475,141344741.42
2009-12-13,158923075.401,179316928.45075,141037243.196
2009-12-14,193969437.464,209842911.965,174282394.042
2009-12-15,200197052.702,213684338.849,194363075.738
2009-12-16,200206810.654,215672077.49375,185414705.978
2009-12-17,200184995.329,214832910.61825,173321608.479
2009-12-18,196759842.422,210998044.883,167942963.448
2009-12-19,178463368.216,192142607.673,154001848.635
2009-12-20,170198705.195,184576654.44875,147310171.62
2009-12-21,185175805.937,201185325.06675,159407045.414
2009-12-22,180440223.645,199492302.39075,143388329.928
2009-12-23,173851203.079,192189949.33575,145833686.726
2009-12-24,158498641.012,182514168.9925,135214404.893
2009-12-25,141636175.015,169610325.9465,132330500.17
2009-12-26,149500309.56,169191359.92575,138841739.67
2009-12-27,146575593.985,165682674.62925,132825794.243
2009-12-28,161267930.417,179442739.83,138061158.051
2009-12-29,160291397.014,176629879.831,138502692.85
2009-12-30,157081496.64,173047131.65275,147409202.041
2009-12-31,151095227.944,167570992.4925,144876578.213
2010-01-01,140763131.981,157478928.5175,141041567.293
2010-01-02,153485936.659,167358750.6495,145629485.837
2010-01-03,155011872.843,169258283.7375,143910272.955
2010-01-04,187481021.025,200623274.29475,166688177.211
2010-01-05,193323279.303,206626855.092,166971453.716
2010-01-06,192092825.094,206890181.604,172345343.452
2010-01-07,192920239.159,205405619.3095,194580484.07
2010-01-08,194061297.351,209251907.418,191007538.372
2010-01-09,177240036.946,192011379.8395,158744773.767
2010-01-10,164534181.461,182702713.40975,142725641.542
2010-01-11,196647187.148,212099530.222,199889779.787
2010-01-12,198605782.983,213109662.4695,209390834.906
2010-01-13,196829433.747,213538299.4595,173421972.336
2010-01-14,193806027.515,210728405.90725,175576243.314
2010-01-15,192359179.713,208494649.678,169208345.852
2010-01-16,170261606.211,184552821.06075,157307628.179
2010-01-17,154953905.356,175760258.0985,134339623.334
2010-01-18,186446929.06,203410192.62525,166308595.596
2010-01-19,194595138.456,209783310.326,180839307.017
2010-01-20,196493086.176,213033365.00525,175782101.581
2010-01-21,194035437.381,209776549.799,175516836.469
2010-01-22,192348183.143,207941879.0905,166235747.903
2010-01-23,169155564.685,185364296.64875,149317398.43
2010-01-24,159273023.256,176414172.90725,139516592.268
2010-01-25,191023573.06,206876548.986,184445618.09
2010-01-26,198120888.297,213600656.2265,207607640.299
2010-01-27,201551567.205,215180743.25125,202913023.507
2010-01-28,200101725.967,214701187.1535,186107772.302
2010-01-29,195775615.671,211999749.5565,175324587.577
2010-01-30,172329899.666,188785784.801,138828072.781
2010-01-31,165388017.349,180751617.14925,149399328.831
2010-02-01,198311203.201,212864664.394,191777907.66
2010-02-02,197706699.792,211377330.71325,183307154.113
2010-02-03,193644563.632,210245563.177,177924052.519
2010-02-04,191261291.71,205259715.622,179431812.839
2010-02-05,192843023.939,207143702.948,176652377.44
2010-02-06,166951711.455,181705031.96075,152728677.964
2010-02-07,155944551.961,170628619.09675,141236566.676
2010-02-08,189026684.714,204210958.62275,178075135.48
2010-02-09,194479780.352,207915232.43725,192208937.017
2010-02-10,197838099.171,213078600.2055,191184319.335
2010-02-11,201841978.51,216587401.79775,197965893.835
2010-02-12,200693454.293,213936357.08225,192366134.955
2010-02-13,179622822.722,192188458.64775,151005551.311
2010-02-14,166436612.654,184230947.00725,133268439.199
2010-02-15,196330900.642,209178641.022,184139399.239
2010-02-16,198705506.474,211829264.0845,182622715.456
2010-02-17,194011938.864,209152670.70475,179260764.327
2010-02-18,189416183.696,205391371.90275,157560876.127
2010-02-19,190596083.755,206462516.0855,162783934.51
2010-02-20,167531144.131,185529293.33325,139455736.405
2010-02-21,153730757.222,171845735.84625,128059629.042
2010-02-22,180349666.243,196256745.70675,154779689.524
2010-02-23,183856827.137,198976571.5475,153654424.876
2010-02-24,182520431.054,196243185.48425,160255653.264
2010-02-25,181074242.595,195974076.338,157880218.058
2010-02-26,179712459.332,194166945.04625,160610691.139
2010-02-27,157884387.896,171553535.13975,145665194.359
2010-02-28,143780893.876,163951152.17775,133472546.077
2010-03-01,174105810.08,190279913.97975,162472595.011
2010-03-02,180751182.913,196961773.80025,157028219.946
2010-03-03,182589810.974,197468090.80775,167140166.141
2010-03-04,186935442.215,201601636.65425,166399202.278
2010-03-05,187223329.775,200492390.516,159370073.076
2010-03-06,170229222.774,182591436.898,151169688.851
2010-03-07,160449055.779,177404068.137,138554308.446
2010-03-08,192592985.806,207753506.3665,186469378.639
2010-03-09,200044260.194,214009011.56775,186787925.697
2010-03-10,198703420.524,213074061.9895,199196959.099
2010-03-11,199004607.59,214771837.4495,180168511.442
2010-03-12,194406523.109,209800472.988,165206337.982
2010-03-13,169647822.392,185785483.448,134507310.821
2010-03-14,154840443.443,172201899.34425,128006593.807
2010-03-15,184204666.576,200086448.21475,160093884.1
2010-03-16,186324912.79,201349980.236,155274219.28
2010-03-17,183369430.969,198001515.3505,147547510.274
2010-03-18,177547204.817,190648824.70525,142998155.35
2010-03-19,167645210.235,183068629.39625,133826609.752
2010-03-20,147479258.851,159514103.55875,128212950.734
2010-03-21,136454052.335,157145651.498,126673173.371
2010-03-22,167706109.021,184368523.56775,145735890.444
2010-03-23,169597002.272,184485928.63175,143763809.756
2010-03-24,166988410.928,181313724.57075,141891450.98
2010-03-25,166309865.841,179864715.1005,151288154.531
2010-03-26,171083236.996,185874147.45025,156463262.087
2010-03-27,151756226.322,168575557.90575,140067780.148
2010-03-28,133286078.661,150914721.524,130268800.816
2010-03-29,166810573.745,181001765.733,151831700.49
2010-03-30,170936461.762,184821619.819,149856026.747
2010-03-31,173276949.414,185729006.15725,168680316.565
2010-04-01,171649948.681,185141630.72,163685199.054
2010-04-02,140450305.72,151965485.02175,145113283.029
2010-04-03,139637361.753,152871597.98,132384801.012
2010-04-04,129825288.742,146506970.04925,133047341.951
2010-04-05,132902448.953,147463140.81775,133165890.86
2010-04-06,164710256.422,176630770.362,155229415.813
2010-04-07,163794498.038,175628964.035,154515819.594
2010-04-08,163410478.186,175661398.45325,151331941.918
2010-04-09,161232438.327,174608828.30875,146530742.435
2010-04-10,139911113.877,153488345.75475,131184631.969
2010-04-11,129824936.617,144002540.17675,130075854.677
2010-04-12,167695461.781,180239465.9685,161050647.555
2010-04-13,170120625.892,181409282.97075,160184560.526
2010-04-14,170595846.646,183766765.16425,154165324.922
2010-04-15,170815507.665,183109582.17225,156652304.239
2010-04-16,167364410.27,178980112.98175,143039454.274
2010-04-17,142134413.831,158403236.42475,130434212.188
2010-04-18,128796080.39,145600604.087,127368671.56
2010-04-19,158519676.786,172306849.813,142756924.62
2010-04-20,163163986.629,176807423.77175,139946877.517
2010-04-21,160890366.01,173094626.155,148045905.981
2010-04-22,160700302.144,174966818.13675,146591103.272
2010-04-23,159062766.515,173879941.40525,147292291.256
2010-04-24,134940110.694,151871489.38375,140312277.121
2010-04-25,120345301.28,140976689.66075,139632806.266
2010-04-26,153970954.641,167928674.51725,156858865.06
2010-04-27,155322748.134,168191225.583,164411089.867
2010-04-28,153396447.544,164277895.50775,172051617.396
2010-04-29,151671590.544,164283349.48025,171868671.575
2010-04-30,152440836.328,165994033.71675,172468231.172
2010-05-01,131549799.313,150028342.448,163211215.175
2010-05-02,124867694.382,140907091.292,176550894.492
2010-05-03,157248857.548,171139939.05975,196703416.854
2010-05-04,164638570.266,177047893.70325,202031794.216
2010-05-05,166686075.592,180773412.54075,211063202.654
2010-05-06,166339243.48,180172785.02775,205151903.968
2010-05-07,163593035.89,176169035.734,196406301.222
2010-05-08,136567331.038,149991161.91875,173174611.122
2010-05-09,123400315.141,140750167.531,164183556.927
2010-05-10,157645858.87,170516641.972,189802895.277
2010-05-11,161100923.782,174088966.374,186329470.75
2010-05-12,156884399.367,170634353.47225,190245462.473
2010-05-13,129049621.042,143864078.7505,177000042.976
2010-05-14,145026675.35,157410317.54875,187007810.495
2010-05-15,135475410.905,151511378.432,170474364.928
2010-05-16,124929495.457,146794396.82,166948588.877
2010-05-17,157600292.878,170880898.8485,183626130.586
2010-05-18,159051760.621,172088414.30725,182692561.314
2010-05-19,161536544.694,175298141.96075,168989603.051
2010-05-20,162064718.704,174571124.715,182625514.786
2010-05-21,156926777.859,170058077.15025,169054691.578
2010-05-22,129255396.925,142928621.43025,153978202.357
2010-05-23,112839416.058,132514137.25275,152237061.666
2010-05-24,117563391.489,134558575.6145,159720239.391
2010-05-25,152356436.302,166479631.77925,183004021.573
2010-05-26,155514290.344,170848694.205,183149968.536
2010-05-27,155852426.354,173846540.22525,193887537.52
2010-05-28,153427873.242,170446943.40875,176197608.778
2010-05-29,129114952.253,149666624.21725,155074129.596
2010-05-30,119474028.742,149793228.67825,150218210.872
2010-05-31,152053384.708,170617403.9845,169740818.713
2010-06-01,156042039.766,172729177.49375,175900058.113
2010-06-02,156338348.346,171756365.345,174329460.574
2010-06-03,147122321.736,165624390.83525,163853884.026
2010-06-04,147453797.184,163481811.7025,170267209.562
2010-06-05,127045270.097,147684635.53925,161310166.54
2010-06-06,117485721.009,143134967.86525,162842183.285
2010-06-07,151289507.901,172231318.45225,192944335.379
2010-06-08,154540155.723,176685237.34725,202222091.778
2010-06-09,154386140.094,177507555.5585,210194779.079
2010-06-10,154693497.293,177376842.0875,215039788.893
2010-06-11,153972005.093,179464744.968,205968859.036
2010-06-12,129132647.756,156463856.6085,189614609.688
2010-06-13,116434506.668,147219013.46225,184145453.455
2010-06-14,149418498.223,171656522.92275,204075298.953
2010-06-15,153648160.457,176447898.2365,201758124.905
2010-06-16,154195531.721,174582487.0745,205979887.853
2010-06-17,153615022.164,174616812.75875,204030416.499
2010-06-18,153553904.209,175575468.975,201732594.45
2010-06-19,131786147.991,150689254.83525,182903252.276
2010-06-20,120896774.384,144794227.7245,178777796.072
2010-06-21,152809565.011,168104884.07325,205758397.041
2010-06-22,154100159.903,169991347.764,192063496.479
2010-06-23,150871558.305,167559754.9495,191298087.232
